artist,danceability,energy,key,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
Queen,0.4827916666666667,0.6299916666666666,4.683333333333334,0.7833333333333333,0.2754511666666667,0.017932298833333336,0.22704583333333334,0.46020333333333335,118.31473333333334,226632.90833333333
David Guetta,0.6255507246376811,0.7896231884057971,6.27536231884058,0.36231884057971014,0.08426476811594204,0.04317622507246378,0.23142898550724636,0.4388927536231885,127.38346376811596,218928.23188405798
Drake,0.7358412698412697,0.5473650793650794,4.333333333333333,0.6825396825396826,0.13644242857142855,0.009430546349206346,0.15878412698412697,0.3707761904761904,122.82404761904759,235109.3015873016
Guns N' Roses,0.3911746031746033,0.8679365079365078,7.079365079365079,0.7936507936507936,0.07656344444444443,0.12406063492063492,0.24874761904761905,0.3874761904761904,131.24028571428573,299635.84126984124
Logic,0.735031746031746,0.7806825396825395,4.857142857142857,0.5396825396825397,0.13655206349206345,0.0013377544444444413,0.16858412698412698,0.5314761904761904,128.75774603174605,232374.4126984127
The Chainsmokers,0.5892931034482758,0.739844827586207,6.482758620689655,0.5689655172413793,0.10656177586206896,0.004798139310344828,0.18618793103448272,0.41505172413793096,119.56708620689658,207803.43103448275
Martin Garrix,0.579078431372549,0.7715098039215686,3.823529411764706,0.43137254901960786,0.07255392156862746,0.13169394392156863,0.249543137254902,0.27563529411764703,128.173,225733.98039215687
2Pac,0.802265306122449,0.7467142857142857,5.714285714285714,0.673469387755102,0.08300204081632653,0.0004901006122448979,0.24303265306122449,0.6484285714285715,103.105306122449,280632.44897959183
The Weeknd,0.5903191489361702,0.6152127659574468,4.553191489361702,0.2127659574468085,0.2620010638297872,0.014970536595744682,0.18538510638297873,0.3567787234042552,125.23951063829789,268671.1489361702
Eminem,0.7381555555555556,0.7718888888888888,5.311111111111111,0.5111111111111111,0.08171086666666667,0.000177422,0.27381555555555553,0.4455866666666667,124.87668888888886,288349.3333333333
